\begin{tabular}{lllrrrrrrrr}
\toprule
Judge & TruthMeasure & EvalMeasure & kendall & pearson & spearman & tauap_b & kendall@15 & spearman@15 & kendall@5 & spearman@5 \\
\midrule
FULL.eval & character_count & RELEVANCE & 0.470000 & 0.684000 & 0.574000 & 0.136000 & NaN & NaN & NaN & NaN \\
FULL.eval & citation_support & RELEVANCE & 0.053000 & 0.067000 & 0.063000 & -0.202000 & -0.290000 & -0.397000 & -0.598000 & -0.783000 \\
FULL.eval & correct_nuggets & RELEVANCE & 0.626000 & 0.876000 & 0.734000 & 0.251000 & NaN & NaN & NaN & NaN \\
FULL.eval & correctly_cited_sentences & RELEVANCE & 0.193000 & 0.348000 & 0.281000 & -0.109000 & -0.024000 & -0.026000 & -0.632000 & -0.707000 \\
FULL.eval & f1 & RELEVANCE & 0.506000 & 0.800000 & 0.609000 & 0.158000 & 0.104000 & 0.124000 & NaN & NaN \\
FULL.eval & nugget_coverage & RELEVANCE & 0.603000 & 0.897000 & 0.714000 & 0.233000 & NaN & NaN & NaN & NaN \\
FULL.eval & relevant_citations & RELEVANCE & 0.522000 & 0.687000 & 0.630000 & 0.174000 & 0.158000 & 0.186000 & NaN & NaN \\
FULL.eval & sentence_support & RELEVANCE & 0.027000 & 0.023000 & 0.035000 & -0.242000 & -0.568000 & -0.709000 & -0.316000 & -0.564000 \\
FULL.eval & sentences & RELEVANCE & 0.377000 & 0.605000 & 0.493000 & 0.053000 & -0.398000 & -0.460000 & -0.120000 & -0.112000 \\
FULL.eval & supporting_citations & RELEVANCE & 0.341000 & 0.426000 & 0.451000 & 0.031000 & -0.208000 & -0.248000 & -0.316000 & -0.354000 \\
keywordjudge.eval & character_count & Relevance & 0.519000 & 0.754000 & 0.696000 & 0.393000 & 0.172000 & 0.300000 & 0.000000 & -0.100000 \\
keywordjudge.eval & citation_support & Relevance & 0.033000 & 0.257000 & 0.028000 & -0.075000 & -0.019000 & -0.080000 & -0.800000 & -0.900000 \\
keywordjudge.eval & correct_nuggets & Relevance & 0.657000 & 0.928000 & 0.841000 & 0.443000 & -0.020000 & -0.032000 & -0.222000 & -0.289000 \\
keywordjudge.eval & correctly_cited_sentences & Relevance & 0.127000 & 0.413000 & 0.241000 & -0.018000 & -0.117000 & -0.160000 & -0.200000 & -0.300000 \\
keywordjudge.eval & f1 & Relevance & 0.447000 & 0.829000 & 0.629000 & 0.241000 & 0.126000 & 0.122000 & 0.598000 & 0.671000 \\
keywordjudge.eval & nugget_coverage & Relevance & 0.609000 & 0.937000 & 0.808000 & 0.348000 & 0.039000 & 0.034000 & -0.527000 & -0.667000 \\
keywordjudge.eval & relevant_citations & Relevance & 0.406000 & 0.712000 & 0.545000 & 0.250000 & 0.167000 & 0.183000 & -0.527000 & -0.616000 \\
keywordjudge.eval & sentence_support & Relevance & 0.007000 & 0.211000 & -0.007000 & -0.108000 & -0.421000 & -0.615000 & -0.400000 & -0.600000 \\
keywordjudge.eval & sentences & Relevance & 0.347000 & 0.690000 & 0.481000 & 0.207000 & 0.206000 & 0.118000 & -0.200000 & -0.500000 \\
keywordjudge.eval & supporting_citations & Relevance & 0.216000 & 0.475000 & 0.340000 & 0.066000 & -0.039000 & -0.096000 & -0.600000 & -0.800000 \\
ldsleaderboard.eval & character_count & ldsmeasure & 0.389000 & 0.427000 & 0.520000 & 0.343000 & 0.295000 & 0.486000 & 0.000000 & -0.100000 \\
ldsleaderboard.eval & citation_support & ldsmeasure & -0.071000 & -0.029000 & -0.114000 & -0.167000 & -0.219000 & -0.293000 & -0.800000 & -0.900000 \\
ldsleaderboard.eval & correct_nuggets & ldsmeasure & 0.534000 & 0.789000 & 0.678000 & 0.379000 & -0.010000 & -0.047000 & -0.316000 & -0.410000 \\
ldsleaderboard.eval & correctly_cited_sentences & ldsmeasure & -0.022000 & 0.279000 & 0.044000 & -0.129000 & -0.067000 & -0.066000 & -0.400000 & -0.400000 \\
ldsleaderboard.eval & f1 & ldsmeasure & 0.311000 & 0.709000 & 0.440000 & 0.114000 & -0.162000 & -0.232000 & 0.400000 & 0.600000 \\
ldsleaderboard.eval & nugget_coverage & ldsmeasure & 0.489000 & 0.801000 & 0.634000 & 0.317000 & 0.086000 & 0.146000 & -0.200000 & 0.000000 \\
ldsleaderboard.eval & relevant_citations & ldsmeasure & 0.309000 & 0.610000 & 0.405000 & 0.193000 & 0.221000 & 0.249000 & -0.316000 & -0.462000 \\
ldsleaderboard.eval & sentence_support & ldsmeasure & -0.103000 & -0.055000 & -0.145000 & -0.214000 & -0.619000 & -0.782000 & -0.200000 & -0.500000 \\
ldsleaderboard.eval & sentences & ldsmeasure & 0.186000 & 0.458000 & 0.266000 & 0.086000 & -0.202000 & -0.243000 & -0.200000 & -0.500000 \\
ldsleaderboard.eval & supporting_citations & ldsmeasure & 0.092000 & 0.331000 & 0.146000 & -0.005000 & -0.096000 & -0.109000 & -0.400000 & -0.600000 \\
\bottomrule
\end{tabular}
